CBSA Title,County/County Equivalent,State Name
"Wichita Falls, TX",Clay County,Texas
"Wichita Falls, TX",Wichita County,Texas
"Williamsport, PA",Lycoming County,Pennsylvania
"Wilmington, NC",New Hanover County,North Carolina
"Wilmington, NC",Pender County,North Carolina
"Winchester, VA-WV",Frederick County,Virginia
"Winchester, VA-WV",Winchester city,Virginia
"Winchester, VA-WV",Hampshire County,West Virginia
"Winston-Salem, NC",Davidson County,North Carolina
"Winston-Salem, NC",Davie County,North Carolina
"Winston-Salem, NC",Forsyth County,North Carolina
"Winston-Salem, NC",Stokes County,North Carolina
"Winston-Salem, NC",Yadkin County,North Carolina
"Worcester, MA-CT",Windham County,Connecticut
"Worcester, MA-CT",Worcester County,Massachusetts
"Yakima, WA",Yakima County,Washington
"Yauco, PR",Guánica Municipio,Puerto Rico
"Yauco, PR",Guayanilla Municipio,Puerto Rico
"Yauco, PR",Peñuelas Municipio,Puerto Rico
"Yauco, PR",Yauco Municipio,Puerto Rico
"York-Hanover, PA",York County,Pennsylvania
"Youngstown-Warren-Boardman, OH-PA",Mahoning County,Ohio
"Youngstown-Warren-Boardman, OH-PA",Trumbull County,Ohio
"Youngstown-Warren-Boardman, OH-PA",Mercer County,Pennsylvania
"Yuba City, CA",Sutter County,California
"Yuba City, CA",Yuba County,California
"Yuma, AZ",Yuma County,Arizona
